code,n,threads,speedup1,efficiency1,speedup2,efficiency2,bandwidth
OB,1024,32,14.413011327,45.040660397,8.099406018,25.310643806,13450959812.409379959
OB,1024,64,0.153733791,0.240209049,0.954836990,1.491932797,1585730355.206071138
OBT,1024,1,1.000000000,100.000000000,1.000000000,100.000000000,1640589681.927481890
OBT,1024,2,2.011311700,100.565585007,2.001379787,100.068989346,3283443028.042165756
OBT,1024,4,3.953034105,98.825852621,3.679798283,91.994957080,6037039094.990252495
OBT,1024,8,7.932843972,99.160549653,4.521568306,56.519603820,7418038308.288281441
OBT,1024,16,14.401764752,90.011029698,7.333772462,45.836077889,12031711431.026847839
OBT,1024,32,25.307427409,79.085710653,9.033252260,28.228913314,14819860452.720960617
OBT,1024,64,0.161479684,0.252312007,0.970847640,1.516949438,1592762621.351289988
OB_S,1024,1,1.000000000,100.000000000,1.000000000,100.000000000,1654751142.320522070
OB_S,1024,2,1.955891439,97.794571963,2.005655426,100.282771280,3318860606.621515751
OB_S,1024,4,3.645719128,91.142978189,4.087103086,102.177577152,6763138500.441799164
OB_S,1024,8,6.453401045,80.667513060,8.265836449,103.322955618,13677902307.000597000
OB_S,1024,16,10.409992316,65.062451977,16.426258403,102.664115018,27181369856.237941742
OB_S,1024,32,14.054316319,43.919738496,30.364395351,94.888735472,50245517892.927276611
OB_S,1024,64,0.157487514,0.246074240,0.978753360,1.529302125,1619593240.861054420
OB_D,1024,1,1.000000000,100.000000000,1.000000000,100.000000000,1635825296.497789383
OB_D,1024,2,1.950709043,97.535452157,2.005013434,100.250671695,3279851695.000415802
OB_D,1024,4,3.618388851,90.459721287,2.341155820,58.528895491,3829721912.785615921
OB_D,1024,8,6.365608401,79.570105011,4.159989966,51.999874573,6805016819.360647202
OB_D,1024,16,9.736745462,60.854659137,8.114921227,50.718257667,13274593421.684715271
OB_D,1024,32,13.549776397,42.343051241,12.577243628,39.303886339,20574173287.704261780
OB_D,1024,64,0.156011305,0.243767664,0.969714951,1.515179612,1586284247.897883892
OBf,1024,1,1.000000000,100.000000000,1.000000000,100.000000000,5266952123.937441826
OBf,1024,2,2.026131520,101.306575979,1.982393148,99.119657411,10441169802.485805511
OBf,1024,4,3.789915206,94.747880154,2.470111806,61.752795140,13009960620.832553864
OBf,1024,8,6.425760352,80.322004395,3.850630896,48.132886201,20281088576.713722229
OBf,1024,16,9.894170634,61.838566461,5.613407361,35.083796008,29565547823.928600311
OBf,1024,32,12.317992911,38.493727847,6.453239548,20.166373588,33988903744.787895203
